Time : 2022-04-06 13:53:56, Label : 4, Word : HOME, Percentage = 73.93%, RunTime : 0.2236sec
Time : 2022-04-06 13:54:02, Label : 20, Word : VOLUME_DOWN, Percentage = 98.24%, RunTime : 0.2568sec
Time : 2022-04-06 13:54:08, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.2267sec
Time : 2022-04-06 13:54:41, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.3070sec
Time : 2022-04-06 13:54:48, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.2307sec
Time : 2022-04-06 13:54:54, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.2323sec
Time : 2022-04-06 13:55:02, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.2375sec
Time : 2022-04-06 13:55:07, Label : 4, Word : HOME, Percentage = 100.00%, RunTime : 0.2481sec
Time : 2022-04-06 13:55:13, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.2400sec
Time : 2022-04-06 13:55:17, Label : 5, Word : END, Percentage = 98.77%, RunTime : 0.2504sec
Time : 2022-04-06 13:55:25, Label : 5, Word : END, Percentage = 100.00%, RunTime : 0.2431sec
Time : 2022-04-06 13:55:31, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.2316sec
Time : 2022-04-06 13:55:38, Label : 6, Word : DARKEN, Percentage = 100.00%, RunTime : 0.2313sec
Time : 2022-04-06 13:55:44, Label : 7, Word : BRIGHTEN, Percentage = 100.00%, RunTime : 0.2263sec
Time : 2022-04-06 13:55:50, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.2223sec
Time : 2022-04-06 13:55:57, Label : 9, Word : PICTURE, Percentage = 100.00%, RunTime : 0.2530sec
Time : 2022-04-06 13:56:03, Label : 10, Word : RECORD, Percentage = 100.00%, RunTime : 0.2835sec
Time : 2022-04-06 13:56:09, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.2695sec
Time : 2022-04-06 13:56:13, Label : 20, Word : VOLUME_DOWN, Percentage = 73.86%, RunTime : 0.2818sec
Time : 2022-04-06 13:56:20, Label : 0, Word : NONE, Percentage = 96.93%, RunTime : 0.2592sec
Time : 2022-04-06 13:56:26, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.2447sec
Time : 2022-04-06 13:56:30, Label : 4, Word : HOME, Percentage = 89.45%, RunTime : 0.2673sec
Time : 2022-04-06 13:56:34, Label : 12, Word : DOWN, Percentage = 100.00%, RunTime : 0.2369sec
Time : 2022-04-06 13:56:41, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.2421sec
Time : 2022-04-06 13:56:47, Label : 22, Word : BIG_SCREEN, Percentage = 99.99%, RunTime : 0.2568sec
Time : 2022-04-06 13:56:54, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.2559sec
Time : 2022-04-06 13:56:58, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.2483sec
Time : 2022-04-06 13:57:04, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.2161sec
Time : 2022-04-06 13:57:09, Label : 15, Word : PREVIOUS, Percentage = 100.00%, RunTime : 0.2457sec
Time : 2022-04-06 13:57:15, Label : 16, Word : PLAY, Percentage = 100.00%, RunTime : 0.2414sec
Time : 2022-04-06 13:57:22, Label : 0, Word : NONE, Percentage = 99.94%, RunTime : 0.2695sec
Time : 2022-04-06 13:57:28, Label : 17, Word : REWIND, Percentage = 100.00%, RunTime : 0.2472sec
